Timestamp,Requests_per_Minute
0,1014
1,918
2,1050
3,1062
4,899
5,917
6,1165
7,871
8,1179
9,1030
10,942
11,1037
12,1139
13,997
14,865
15,1058
16,858
17,900
18,941
19,1182
20,872
21,1128
22,1195
23,832
24,1096
25,851
26,918
27,973
28,940
29,807
30,901
31,862
32,1116
33,1094
34,1098
35,1110
36,1125
37,1018
38,925
39,1007
40,1170
41,992
42,1000
43,889
44,1027
45,833
46,1118
47,1177
48,1080
49,817
50,1054
51,991
52,1080
53,1035
54,862
55,1077
56,899
57,983
58,1077
59,853
60,834
61,943
62,1122
63,996
64,870
65,870
66,900
67,1115
68,887
69,1024
70,833
71,857
72,838
73,1108
74,1093
75,1142
76,1029
77,955
78,826
79,956
80,883
81,1198
82,918
83,920
84,1098
85,800
86,896
87,1145
88,1106
89,1141
90,958
91,899
92,1134
93,1090
94,1167
95,881
96,1044
97,1084
98,887
99,1073
100,878
101,835
102,886
103,1149
104,1007
105,1100
106,1157
107,1196
108,1111
109,966
110,910
111,903
112,921
113,1008
114,1130
115,1146
116,907
117,941
118,993
119,1065
120,1167
121,917
122,955
123,853
124,831
125,982
126,878
127,1132
128,831
129,1186
130,856
131,1151
132,1147
133,1112
134,849
135,1116
136,837
137,1115
138,1020
139,846
140,1146
141,1153
142,921
143,980
144,1071
145,1089
146,1045
147,936
148,1025
149,813
150,998
151,922
152,917
153,1062
154,1123
155,887
156,1185
157,895
158,1120
159,868
160,844
161,925
162,884
163,882
164,940
165,987
166,1094
167,1149
168,885
169,1120
170,1126
171,832
172,967
173,1077
174,1165
175,910
176,921
177,998
178,1116
179,873
180,1188
181,806
182,1163
183,1075
184,1074
185,1174
186,844
187,958
188,828
189,1133
190,1102
191,937
192,852
193,982
194,1063
195,1083
196,1043
197,895
198,846
199,833
200,1159
201,833
202,878
203,970
204,1140
205,1085
206,870
207,846
208,915
209,823
210,1192
211,1173
212,814
213,945
214,840
215,1174
216,862
217,933
218,832
219,910
220,1100
221,811
222,1179
223,1101
224,904
225,884
226,872
227,925
228,1074
229,1073
230,1119
231,858
232,835
233,988
234,1116
235,876
236,878
237,1037
238,1169
239,1189
240,1114
241,1134
242,1012
243,1141
244,814
245,1007
246,1045
247,1138
248,964
249,1124
250,1028
251,1178
252,906
253,896
254,1075
255,1117
256,1138
257,910
258,1163
259,1041
260,1124
261,836
262,1020
263,1080
264,900
265,838
266,1066
267,978
268,1138
269,824
270,1000
271,1169
272,998
273,1152
274,813
275,891
276,1066
277,1166
278,1120
279,984
280,884
281,820
282,1022
283,1196
284,865
285,1104
286,907
287,974
288,977
289,1159
290,977
291,854
292,1144
293,1003
294,1053
295,840
296,815
297,1114
298,963
299,1182
300,863
301,877
302,826
303,1177
304,956
305,932
306,975
307,878
308,1131
309,1070
310,1124
311,917
312,874
313,1038
314,852
315,1159
316,1108
317,894
318,1167
319,920
320,1140
321,1117
322,830
323,911
324,984
325,999
326,835
327,853
328,871
329,894
330,849
331,880
332,1092
333,942
334,976
335,1149
336,1176
337,1107
338,1020
339,1122
340,1193
341,846
342,1056
343,1071
344,1012
345,814
346,1054
347,1090
348,911
349,996
350,919
351,1048
352,1031
353,967
354,952
355,1168
356,1048
357,1077
358,1030
359,985
360,999
361,1049
362,838
363,970
364,850
365,923
366,956
367,1103
368,1000
369,1061
370,960
371,801
372,919
373,837
374,1064
375,1106
376,1018
377,952
378,902
379,950
380,882
381,888
382,915
383,1157
384,944
385,989
386,1129
387,1068
388,821
389,1115
390,1117
391,1010
392,928
393,1181
394,1124
395,897
396,1082
397,1027
398,942
399,882
400,918
401,1053
402,821
403,1133
404,1025
405,918
406,1159
407,893
408,915
409,975
410,890
411,902
412,1078
413,878
414,929
415,873
416,946
417,952
418,1109
419,1193
420,1172
421,1077
422,994
423,947
424,825
425,893
426,1061
427,1017
428,844
429,1145
430,1172
431,842
432,846
433,1141
434,863
435,1022
436,1075
437,1087
438,1137
439,833
440,813
441,956
442,1083
443,1113
444,819
445,1015
446,917
447,1159
448,1148
449,1024
450,1170
451,962
452,1000
453,1021
454,889
455,1100
456,1181
457,1105
458,814
459,1132
460,841
461,1006
462,1099
463,1133
464,850
465,822
466,1091
467,1029
468,1025
469,867
470,823
471,1044
472,926
473,1029
474,1053
475,854
476,903
477,1164
478,995
479,1058
480,937
481,956
482,1182
483,1169
484,851
485,900
486,1078
487,901
488,1145
489,949
490,1153
491,941
492,1051
493,1028
494,1084
495,808
496,1007
497,962
498,1093
499,1098
